index,Unidades da Federacao,Unidade,Produto,Ano,Producao
96,Goias,(m3),Biodiesel,2015,6952520
97,Goias,(mil m3),Etanol anidro e hidratado,2015,480935
98,Maranhao,(mil barris),Petroleo,2015,400
99,Maranhao,(mil m3),Etanol anidro e hidratado,2015,18698
100,Maranhao,(milhoes de m3),Gas Natural,2015,15653
101,Mato Grosso,(m3),Biodiesel,2015,8456710
102,Mato Grosso,(mil m3),Etanol anidro e hidratado,2015,131632
103,Mato Grosso do Sul,(m3),Biodiesel,2015,2074840
104,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2015,271233
105,Minas Gerais,(m3),Biodiesel,2015,922580
106,Minas Gerais,(mil m3),Etanol anidro e hidratado,2015,320292
107,Para,(m3),Biodiesel,2015,0
108,Para,(mil m3),Etanol anidro e hidratado,2015,4093
109,Paraiba,(mil m3),Etanol anidro e hidratado,2015,44706
110,Parana,(m3),Biodiesel,2015,3636890
111,Parana,(mil m3),Etanol anidro e hidratado,2015,146239
112,Parana,(milhoes de m3),Gas Natural,2015,0
113,Pernambuco,(mil m3),Etanol anidro e hidratado,2015,44294
114,Piaui,(m3),Biodiesel,2015,0
115,Piaui,(mil m3),Etanol anidro e hidratado,2015,3268
116,Rio Grande do Norte,(m3),Biodiesel,2015,17990
117,Rio Grande do Norte,(mil barris),LGN,2015,11440
118,Rio Grande do Norte,(mil barris),Petroleo,2015,208410
119,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2015,9826
120,Rio Grande do Norte,(milhoes de m3),Gas Natural,2015,4267
121,Rio Grande do Sul,(m3),Biodiesel,2015,11143070
122,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2015,379
123,Rio de Janeiro,(m3),Biodiesel,2015,187040
124,Rio de Janeiro,(m3),Biometano,2015,0
125,Rio de Janeiro,(mil barris),LGN,2015,143190
126,Rio de Janeiro,(mil barris),Petroleo,2015,5969240
127,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2015,576
128,Rio de Janeiro,(milhoes de m3),Gas Natural,2015,140620
129,Rondonia,(m3),Biodiesel,2015,41400
130,Rondonia,(mil m3),Etanol anidro e hidratado,2015,1299
131,Santa Catarina,(m3),Biodiesel,2015,344890
132,Sao Paulo,(m3),Biodiesel,2015,1844730
133,Sao Paulo,(m3),Biometano,2015,0
134,Sao Paulo,(mil barris),LGN,2015,26130
135,Sao Paulo,(mil barris),Petroleo,2015,899680
136,Sao Paulo,(mil m3),Etanol anidro e hidratado,2015,1383005
137,Sao Paulo,(milhoes de m3),Gas Natural,2015,55384
138,Sergipe,(mil barris),LGN,2015,89900
139,Sergipe,(mil barris),Petroleo,2015,121630
140,Sergipe,(mil m3),Etanol anidro e hidratado,2015,16989
141,Sergipe,(milhoes de m3),Gas Natural,2015,8638
142,Tocantins,(m3),Biodiesel,2015,620850
143,Tocantins,(mil m3),Etanol anidro e hidratado,2015,18981
144,Acre,(mil m3),Etanol anidro e hidratado,2016,367
145,Alagoas,(mil barris),LGN,2016,5980
146,Alagoas,(mil barris),Petroleo,2016,20490
147,Alagoas,(mil m3),Etanol anidro e hidratado,2016,36649
148,Alagoas,(milhoes de m3),Gas Natural,2016,4183
149,Amazonas,(mil barris),LGN,2016,57940
150,Amazonas,(mil barris),Petroleo,2016,85610
151,Amazonas,(mil m3),Etanol anidro e hidratado,2016,55
152,Amazonas,(milhoes de m3),Gas Natural,2016,51062
153,Bahia,(m3),Biodiesel,2016,2452150
154,Bahia,(mil barris),LGN,2016,13970
155,Bahia,(mil barris),Petroleo,2016,158040
156,Bahia,(mil m3),Etanol anidro e hidratado,2016,12607
157,Bahia,(milhoes de m3),Gas Natural,2016,27243
158,Ceara,(m3),Biodiesel,2016,593900
159,Ceara,(m3),Biometano,2016,0
160,Ceara,(mil barris),LGN,2016,0
161,Ceara,(mil barris),Petroleo,2016,75980
162,Ceara,(mil m3),Etanol anidro e hidratado,2016,524
163,Ceara,(milhoes de m3),Gas Natural,2016,374
164,Espirito Santo,(mil barris),LGN,2016,57890
165,Espirito Santo,(mil barris),Petroleo,2016,144180
166,Espirito Santo,(mil m3),Etanol anidro e hidratado,2016,7531
167,Espirito Santo,(milhoes de m3),Gas Natural,2016,38947
168,Goias,(m3),Biodiesel,2016,6499220
169,Goias,(mil m3),Etanol anidro e hidratado,2016,458421
170,Maranhao,(mil barris),Petroleo,2016,1400
171,Maranhao,(mil m3),Etanol anidro e hidratado,2016,1280
172,Maranhao,(milhoes de m3),Gas Natural,2016,19263
173,Mato Grosso,(m3),Biodiesel,2016,8186690
174,Mato Grosso,(mil m3),Etanol anidro e hidratado,2016,121165
175,Mato Grosso do Sul,(m3),Biodiesel,2016,1782370
176,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2016,259994
177,Minas Gerais,(m3),Biodiesel,2016,947980
178,Minas Gerais,(mil m3),Etanol anidro e hidratado,2016,269943
179,Para,(m3),Biodiesel,2016,0
180,Para,(mil m3),Etanol anidro e hidratado,2016,3315
181,Paraiba,(mil m3),Etanol anidro e hidratado,2016,36023
182,Parana,(m3),Biodiesel,2016,3926790
183,Parana,(mil m3),Etanol anidro e hidratado,2016,147369
184,Parana,(milhoes de m3),Gas Natural,2016,0
185,Pernambuco,(mil m3),Etanol anidro e hidratado,2016,34787
186,Piaui,(m3),Biodiesel,2016,0
187,Piaui,(mil m3),Etanol anidro e hidratado,2016,2161
